Running 2000 epochs
Epoch   Train Loss   Val Loss   Train Accuracy   Val Accuracy   Current LR
    0     1.414252   1.419397        0.230948      0.215909        0.000050
    1     1.319510   1.473325        0.314906      0.106405        0.000050
    2     1.235817   1.458844        0.326272      0.130165        0.000050
    3     1.208633   1.433501        0.326531      0.146694        0.000050
    4     1.176695   1.391235        0.359080      0.256198        0.000049
    5     1.158548   1.339783        0.396538      0.308884        0.000049
    6     1.136625   1.283401        0.447171      0.369835        0.000048
    7     1.124404   1.267573        0.448463      0.399793        0.000048
    8     1.106916   1.255931        0.452338      0.444215        0.000047
    9     1.082277   1.250035        0.444588      0.446281        0.000046
   10     1.095396   1.227294        0.469129      0.471074        0.000045
   11     1.079021   1.235836        0.451563      0.458678        0.000043
   12     1.103477   1.209198        0.483854      0.487603        0.000042
   13     1.090886   1.210495        0.473779      0.482438        0.000041
   14     1.061623   1.218938        0.451305      0.486570        0.000039
   15     1.074639   1.204522        0.499871      0.493802        0.000038
   16     1.076447   1.196403        0.496771      0.498967        0.000036
   17     1.074174   1.182439        0.507621      0.520661        0.000034
   18     1.054788   1.208149        0.482046      0.483471        0.000033
   19     1.058875   1.199054        0.490571      0.500000        0.000031
   20     1.058042   1.189628        0.514079      0.522727        0.000029
   21     1.068046   1.188944        0.487988      0.506198        0.000028
   22     1.070376   1.181986        0.491604      0.517562        0.000026
   23     1.063539   1.174488        0.519504      0.520661        0.000024
   24     1.057577   1.188296        0.493154      0.501033        0.000022
   25     1.057178   1.181765        0.495996      0.518595        0.000021
   26     1.053205   1.189416        0.501421      0.505165        0.000019
   27     1.053248   1.188964        0.488246      0.512397        0.000017
   28     1.071458   1.182773        0.510721      0.522727        0.000016
   29     1.050977   1.183046        0.510721      0.511364        0.000014
   30     1.053397   1.185858        0.522087      0.505165        0.000013
   31     1.044798   1.186629        0.514854      0.512397        0.000012
   32     1.052048   1.185941        0.508654      0.513430        0.000010
   33     1.048967   1.187811        0.513562      0.514463        0.000009
   34     1.056719   1.187761        0.496771      0.519628        0.000008
   35     1.052457   1.181210        0.499354      0.518595        0.000007
   36     1.059461   1.180142        0.528546      0.521694        0.000007
   37     1.040337   1.181802        0.512529      0.520661        0.000006
   38     1.059946   1.182535        0.506071      0.514463        0.000006
   39     1.026089   1.185122        0.508654      0.513430        0.000005
   40     1.059517   1.183268        0.520796      0.519628        0.000005
   41     1.067593   1.169581        0.524671      0.538223        0.000050
   42     1.048810   1.182984        0.494963      0.514463        0.000050
   43     1.036557   1.212216        0.485921      0.496901        0.000050
   44     1.042627   1.180692        0.506587      0.529959        0.000050
   45     1.056118   1.174509        0.511496      0.529959        0.000050
   46     1.036002   1.181868        0.496254      0.513430        0.000050
   47     1.037908   1.181845        0.514079      0.508264        0.000049
   48     1.035511   1.196909        0.499354      0.502066        0.000049
   49     1.048871   1.167992        0.520021      0.526860        0.000049
   50     1.022182   1.164420        0.530612      0.535124        0.000049
   51     1.038495   1.168000        0.524929      0.536157        0.000048
   52     1.032015   1.168094        0.528546      0.524793        0.000048
   53     1.045306   1.163903        0.528287      0.546488        0.000048
   54     1.039202   1.185865        0.498579      0.528926        0.000047
   55     1.024846   1.166819        0.524154      0.553719        0.000047
   56     1.032955   1.173860        0.529579      0.532025        0.000046
   57     1.039241   1.174960        0.487471      0.526860        0.000046
   58     1.035147   1.177701        0.529837      0.536157        0.000045
   59     1.031402   1.182978        0.516404      0.517562        0.000045
   60     1.022673   1.183325        0.499871      0.520661        0.000044
   61     1.022055   1.174139        0.523121      0.535124        0.000043
   62     1.019115   1.175889        0.520279      0.535124        0.000043
